ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q18538752,Second Lascăr Catargiu cabinet,1871-03-11,11,,,1876-03-30,11,,,,,,,,,,
,Q12729701,First Florescu cabinet,1876-04-04,11,,,1876-04-26,11,,,,,,,,,,
,Q18543998,Second Epureanu cabinet,1876-04-27,11,,,1876-07-23,11,,,,,,,,,,
,Q12729705,Ion C. Brătianu government (1),1876-07-24,11,,,1878-11-24,11,,,,,,,,,,
,Q18538321,Second Ion C. Brătianu cabinet,1878-11-24,11,,,1879-07-10,11,,,,,,,,,,
,Q18538323,Third Ion C. Brătianu cabinet,1879-07-11,11,,,1881-04-09,11,,,,,,,,,,
,Q12729688,Dimitrie Brătianu cabinet,1881-04-10,11,,,1881-06-08,11,,,,,,,,,,
,Q12729706,Ion C. Brătianu government (4),1881-06-09,11,,,1888-03-20,11,,,,,,,,,,
,Q18547543,First Rosetti cabinet,1888-03-22,11,,,1888-11-11,11,,,,,,,,,,
,Q12729741,Second Rosetti cabinet,1888-11-12,11,,,1889-03-22,11,,,,,,,,,,
,Q18538753,Third Lascăr Catargiu cabinet,1889-03-29,11,,,1889-11-03,11,,,,,,,,,,
,Q18541673,Manu cabinet,1889-11-05,11,,,1891-02-15,11,,,,,,,,,,
,Q12729702,Second Florescu cabinet,1891-02-21,11,,,1891-11-26,11,,,,,,,,,,
,Q12729725,Fourth Lascăr Catargiu cabinet,1891-11-27,11,,,1895-10-03,11,,,,,,,,,,
,Q12729685,First Sturdza cabinet,1895-10-04,11,,,1896-11-21,11,,,,,,,,,,
,Q18537582,Aurelian cabinet,1896-11-21,11,,,1897-03-26,11,,,,,,,,,,
,Q18548231,Second Sturdza cabinet,1897-03-31,11,,,1899-03-30,11,,,,,,,,,,
,Q12729690,First Cantacuzino cabinet,1899-04-11,11,,,1900-07-06,11,,,,,,,,,,
,Q18538598,First Carp cabinet,1900-07-07,11,,,1901-02-13,11,,,,,,,,,,
,Q18548232,Third Sturdza cabinet,1901-02-14,11,,,1904-12-20,11,,,,,,,,,,
,Q12729691,Second Cantacuzino cabinet,1904-12-22,11,,,1907-03-12,11,,,,,,,,,,
,Q18548234,Fourth Sturdza cabinet,1907-03-12,11,,,1908-12-27,11,,,,,,,,,,
